epoch,train_loss,train_acc,val_loss,val_acc
1,0.6829578822494933,72.14741318214033,0.5224244339427232,79.30545712260808
2,0.3745609040191882,85.8433734939759,0.5909523150049539,77.01393810536263
3,0.27768206243118776,89.4401133947555,0.3504818370374359,86.53437278525868
4,0.21269900237531097,91.95605953224663,0.35057932788278656,87.47932908103
5,0.1705500729454203,93.65698086463502,0.3334983812876973,88.3061658398299
6,0.15144149320070938,94.31845027167493,0.3613662245339489,87.88093550673281
7,0.1336361653297548,95.12166312308055,0.34909387272200687,88.37703756201276
8,0.1142081016141762,95.7181667847862,0.3905071095424202,88.99125915426411
9,0.09945602207353302,96.29695251594613,0.4498884368598982,88.14079848806993
10,0.09075614541533392,96.68084101110324,0.46956569927256353,88.0463028584928
