epoch,train_loss,train_acc,val_loss,val_acc
1,0.18433544518060396,93.42074179069218,0.1986061770212853,92.86557996692653
2,0.08309540024237122,97.21828490432317,0.2250971240183999,92.36947791164658
3,0.060758717699575276,97.96243798724309,0.21961853240444787,93.07819513347508
4,0.04644830551697216,98.45854004252304,0.21402501376834626,94.09402315142924
5,0.03777150663532037,98.79518072289157,0.2144965200035701,93.07819513347508
6,0.024419703776986657,99.27356484762579,0.23033800636330817,93.95227970706355
7,0.022549535148588293,99.2322230096858,0.2010113687175063,93.73966454051501
8,0.024978649387008053,99.1495393338058,0.21427709975726716,94.37751004016064
9,0.02765516066109023,99.1495393338058,0.23347830484109033,94.11764705882354
10,0.014677578391726842,99.63973541223719,0.23557257064997256,94.8499881880463
